Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2022;8517 ;8783;10269;81569;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel BENJAMIN;FUTBOL SALA;BENJAMIN ;HISPANO ALEMAN  B;MIXTO;Chamartín
2022;8517 ;8783;10268;81564;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel ALEVIN;FUTBOL SALA;ALEVIN ;PARAISO A;MIXTO;Chamartín
2022;8517 ;8783;10268;81565;2;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel ALEVIN;FUTBOL SALA;ALEVIN ;PARAISO B;MIXTO;Chamartín
2022;8517 ;8783;10270;81552;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel SENIOR;FUTBOL SALA;SENIOR ;GAYOLAS;MASCULINO;Chamartín
2022;8517 ;8783;10270;81550;2;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel SENIOR;FUTBOL SALA;SENIOR ;EL CERRO;MASCULINO;Chamartín
2022;8475 ;8673;11138;81989;2;9.00;5;4;0;1;292;152;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Park Aveniu;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81726;10;4.00;2;2;0;0;124;65;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Monstars;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81873;5;6.00;4;2;0;2;243;180;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Bamiguetes;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;82181;6;6.00;4;2;0;2;190;203;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Lluch;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;82484;8;4.00;3;1;0;2;100;148;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Los Stones;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81586;4;7.00;5;2;0;3;177;234;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Sureste Warriors;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81836;7;5.00;5;0;0;5;150;234;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;L.A.Prospe;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81652;11;4.00;4;0;0;4;123;297;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Barcelongos;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81691;9;4.00;3;1;0;2;108;98;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Pachangas;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81705;3;7.00;4;3;0;1;264;200;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Rebolledo;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81869;1;10.00;5;5;0;0;249;209;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Coopera o Revienta;MASCULINO;Ciudad Lineal
2022;8474 ;8670;11109;81814;3;10.00;4;3;1;0;23;10;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Inter de Madrid;MASCULINO;Chamberí
2022;8474 ;8670;11109;81879;1;13.00;6;4;1;1;22;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Chillin FS;MASCULINO;Chamberí
2022;8474 ;8670;11109;81692;2;12.00;5;4;0;1;19;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Los sureños;MASCULINO;Chamberí
2022;8474 ;8670;11109;81704;7;3.00;5;1;0;4;19;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;OGT LEYENDS;MASCULINO;Chamberí
2022;8474 ;8670;11109;81801;5;9.00;5;3;0;2;12;11;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Racing Chamberi;MASCULINO;Chamberí
2022;8474 ;8670;11109;81702;4;10.00;5;3;1;1;13;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Deportivo Chamberí;MASCULINO;Chamberí
2022;8474 ;8670;11109;81828;6;4.00;5;1;1;2;7;20;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;SWAT;MASCULINO;Chamberí
2022;8474 ;8670;11109;81579;8;3.00;5;1;0;4;11;16;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;EL BRASIL;MASCULINO;Chamberí
2022;8474 ;8670;11109;82055;9;3.00;6;1;0;4;8;39;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Frenquillo FC;MASCULINO;Chamberí
2022;8521 ;8789;10666;82423;1;6.00;3;3;0;0;144;91;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;MdL;MASCULINO;Moratalaz
2022;8521 ;8789;10666;82136;3;6.00;3;3;0;0;151;107;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;Mistery Men;MASCULINO;Moratalaz
2022;8521 ;8789;10666;82436;2;6.00;3;3;0;0;139;91;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;MdA;MASCULINO;Moratalaz
2022;8521 ;8789;10666;81699;4;5.00;3;2;0;1;148;137;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;SPV;MASCULINO;Moratalaz
2022;8521 ;8789;10666;82861;10;3.00;2;1;0;1;54;81;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;SuperLoosers;MASCULINO;Moratalaz
2022;8521 ;8789;10666;81797;5;4.00;3;1;0;2;83;109;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;SAINZ DE VICUÑA D;MASCULINO;Moratalaz
2022;8521 ;8789;10666;82567;9;3.00;2;1;0;1;127;122;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;SAN CRISTOBAL;MASCULINO;Moratalaz
2022;8521 ;8789;10666;81703;12;3.00;3;0;0;3;106;159;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;WILD BOYS;MASCULINO;Moratalaz
2022;8521 ;8789;10666;82273;7;4.00;3;1;0;2;138;147;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;SUIZA;MASCULINO;Moratalaz
2022;8521 ;8789;10666;82743;8;4.00;3;1;0;2;107;113;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;LOS KHINKIS RUSOS;MASCULINO;Moratalaz
2022;8521 ;8789;10666;82131;11;3.00;3;0;0;3;98;134;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;VANNER;MASCULINO;Moratalaz
2022;8521 ;8789;10666;83777;6;4.00;3;1;0;2;120;124;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM MAÑ BC SEN MAS G2;BALONCESTO;SENIOR ;UNIÓN PENOSA;MASCULINO;Moratalaz
2022;8521 ;8789;10664;81580;1;6.00;3;3;0;0;283;107;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR SAB TAR BC SEN MAS G2;BALONCESTO;SENIOR ;Ramones C.B.;MASCULINO;Moratalaz
2022;8521 ;8789;10664;81838;2;6.00;3;3;0;0;121;76;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR SAB TAR BC SEN MAS G2;BALONCESTO;SENIOR ;PER C.B.;MASCULINO;Moratalaz
2022;8521 ;8789;10664;81848;5;5.00;3;2;0;1;124;106;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR SAB TAR BC SEN MAS G2;BALONCESTO;SENIOR ;LOS JUGONES;MASCULINO;Moratalaz
2022;8521 ;8789;10664;81825;3;6.00;3;3;0;0;160;126;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR SAB TAR BC SEN MAS G2;BALONCESTO;SENIOR ;MO es MO;MASCULINO;Moratalaz
2022;8521 ;8789;10664;84039;7;4.00;3;1;0;2;125;125;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR SAB TAR BC SEN MAS G2;BALONCESTO;SENIOR ;SBC PANDAS;MASCULINO;Moratalaz
2022;8521 ;8789;10664;83488;8;4.00;3;1;0;2;102;146;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR SAB TAR BC SEN MAS G2;BALONCESTO;SENIOR ;NUSOTROS;MASCULINO;Moratalaz
