Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2022;8517 ;8783;10269;81569;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel BENJAMIN;FUTBOL SALA;BENJAMIN ;HISPANO ALEMAN  B;MIXTO;Chamartín
2022;8517 ;8783;10268;81564;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel ALEVIN;FUTBOL SALA;ALEVIN ;PARAISO A;MIXTO;Chamartín
2022;8517 ;8783;10268;81565;2;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel ALEVIN;FUTBOL SALA;ALEVIN ;PARAISO B;MIXTO;Chamartín
2022;8517 ;8783;10270;81552;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel SENIOR;FUTBOL SALA;SENIOR ;GAYOLAS;MASCULINO;Chamartín
2022;8517 ;8783;10270;81550;2;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel SENIOR;FUTBOL SALA;SENIOR ;EL CERRO;MASCULINO;Chamartín
2022;8475 ;8673;11138;81989;2;7.00;4;3;0;1;220;124;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Park Aveniu;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81726;6;4.00;2;2;0;0;124;65;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Monstars;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81873;5;5.00;3;2;0;1;191;125;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Bamiguetes;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;82181;9;4.00;3;1;0;2;127;161;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Lluch;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;82484;11;3.00;2;1;0;1;72;76;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Los Stones;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81586;3;6.00;4;2;0;2;135;171;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Sureste Warriors;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81836;8;4.00;4;0;0;4;102;173;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;L.A.Prospe;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81652;10;4.00;4;0;0;4;123;297;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Barcelongos;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81691;7;4.00;3;1;0;2;108;98;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Pachangas;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81705;4;5.00;3;2;0;1;203;152;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Rebolledo;MASCULINO;Ciudad Lineal
2022;8475 ;8673;11138;81869;1;8.00;4;4;0;0;194;157;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CIU SAB TAR BC SEN MAS;BALONCESTO;SENIOR ;Coopera o Revienta;MASCULINO;Ciudad Lineal
2022;8477 ;8679;11411;85351;7;1.00;1;0;0;1;17;59;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;;JDM HOR BC JUVENIL MAS;BALONCESTO;JUVENIL ;TUCUTUCU;MASCULINO	Hortaleza
2022;8477 ;8679;11411;85392;1;4.00;2;2;0;0;83;35;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;;JDM HOR BC JUVENIL MAS;BALONCESTO;JUVENIL ;CD DINAMICA A;MASCULINO	Hortaleza
2022;8477 ;8679;11411;85441;3;2.00;1;1;0;0;65;17;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;;JDM HOR BC JUVENIL MAS;BALONCESTO;JUVENIL ;Colegio Madrid- Fundacion Santa Maria;MASCULINO	Hortaleza
2022;8477 ;8679;11411;85476;8;.00;0;0;0;0;0;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;;JDM HOR BC JUVENIL MAS;BALONCESTO;JUVENIL ;MV;MASCULINO	Hortaleza
2022;8477 ;8679;11411;85754;2;3.00;2;1;0;1;78;62;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;;JDM HOR BC JUVENIL MAS;BALONCESTO;JUVENIL ;C.D. DOSA;MASCULINO	Hortaleza
2022;8477 ;8679;11411;85794;4;2.00;1;1;0;0;56;22;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;;JDM HOR BC JUVENIL MAS;BALONCESTO;JUVENIL ;International College Spain;MASCULINO	Hortaleza
2022;8477 ;8679;11411;86137;5;2.00;2;0;0;2;39;121;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;;JDM HOR BC JUVENIL MAS;BALONCESTO;JUVENIL ;Pablo Picasso;MASCULINO	Hortaleza
2022;8477 ;8679;11411;87679;6;1.00;1;0;0;1;16;38;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;;JDM HOR BC JUVENIL MAS;BALONCESTO;JUVENIL ;A.D. SAN PASCUAL-MONTPELLIER;MASCULINO	Hortaleza
2022;8478 ;8682;11157;83308;4;9.00;4;3;0;1;28;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;BORUSIA DE CAMPA;MASCULINO;Latina
2022;8478 ;8682;11157;83556;3;9.00;3;3;0;0;26;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;Real aluche FC;MASCULINO;Latina
2022;8478 ;8682;11157;83533;1;10.00;4;3;1;0;28;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;RIBERA;MASCULINO;Latina
2022;8478 ;8682;11157;83064;2;10.00;4;3;1;0;23;4;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;LOS DE SIEMPRE;MASCULINO;Latina
2022;8478 ;8682;11157;82442;5;6.00;4;2;0;2;16;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;PALMERAS SAD;MASCULINO;Latina
2022;8478 ;8682;11157;84450;6;6.00;3;2;0;1;15;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;MATOJOS;MASCULINO;Latina
2022;8478 ;8682;11157;84091;9;3.00;3;1;0;2;10;23;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;TRASEROS INQUIETOS A;MASCULINO;Latina
2022;8478 ;8682;11157;82636;7;3.00;3;1;0;2;13;19;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;ALL IN F.S.;MASCULINO;Latina
2022;8478 ;8682;11157;82459;8;3.00;3;1;0;2;12;23;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;SPORTING LAS ÁGUILAS;MASCULINO;Latina
2022;8478 ;8682;11157;82926;10;.00;3;0;0;3;5;22;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;PUNTO LOST;MASCULINO;Latina
2022;8478 ;8682;11157;82600;11;.00;3;0;0;3;1;20;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;LA ÑAPA;MASCULINO;Latina
2022;8478 ;8682;11157;81742;12;.00;3;0;0;3;4;24;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT SAB TAR FS SEN MAS;FUTBOL SALA;SENIOR ;VIEJO VERTEDERO FS;MASCULINO;Latina
2022;8474 ;8670;11109;81814;4;7.00;3;2;1;0;18;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Inter de Madrid;MASCULINO;Chamberí
2022;8474 ;8670;11109;81879;3;10.00;5;3;1;1;20;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Chillin FS;MASCULINO;Chamberí
2022;8474 ;8670;11109;81692;1;12.00;4;4;0;0;15;4;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Los sureños;MASCULINO;Chamberí
2022;8474 ;8670;11109;81704;7;3.00;5;1;0;4;19;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;OGT LEYENDS;MASCULINO;Chamberí
2022;8474 ;8670;11109;81801;5;6.00;4;2;0;2;10;10;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Racing Chamberi;MASCULINO;Chamberí
2022;8474 ;8670;11109;81702;2;10.00;4;3;1;0;12;3;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Deportivo Chamberí;MASCULINO;Chamberí
2022;8474 ;8670;11109;81828;6;4.00;4;1;1;1;6;18;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;SWAT;MASCULINO;Chamberí
