Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2022;8517 ;8783;10269;81569;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel BENJAMIN;FUTBOL SALA;BENJAMIN ;HISPANO ALEMAN  B;MIXTO;Chamartín
2022;8517 ;8783;10268;81564;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel ALEVIN;FUTBOL SALA;ALEVIN ;PARAISO A;MIXTO;Chamartín
2022;8517 ;8783;10268;81565;2;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel ALEVIN;FUTBOL SALA;ALEVIN ;PARAISO B;MIXTO;Chamartín
2022;8517 ;8783;10270;81552;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel SENIOR;FUTBOL SALA;SENIOR ;GAYOLAS;MASCULINO;Chamartín
2022;8517 ;8783;10270;81550;2;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel SENIOR;FUTBOL SALA;SENIOR ;EL CERRO;MASCULINO;Chamartín
2022;8474 ;8670;11109;81814;3;10.00;4;3;1;0;23;10;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Inter de Madrid;MASCULINO;Chamberí
2022;8474 ;8670;11109;81879;1;13.00;6;4;1;1;22;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Chillin FS;MASCULINO;Chamberí
2022;8474 ;8670;11109;81692;2;12.00;5;4;0;1;19;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Los sureños;MASCULINO;Chamberí
2022;8474 ;8670;11109;81704;7;3.00;5;1;0;4;19;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;OGT LEYENDS;MASCULINO;Chamberí
2022;8474 ;8670;11109;81801;5;9.00;5;3;0;2;12;11;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Racing Chamberi;MASCULINO;Chamberí
2022;8474 ;8670;11109;81702;4;10.00;5;3;1;1;13;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Deportivo Chamberí;MASCULINO;Chamberí
2022;8474 ;8670;11109;81828;6;4.00;5;1;1;2;7;20;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;SWAT;MASCULINO;Chamberí
2022;8474 ;8670;11109;81579;8;3.00;5;1;0;4;11;16;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;EL BRASIL;MASCULINO;Chamberí
2022;8474 ;8670;11109;82055;9;3.00;6;1;0;4;8;39;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Frenquillo FC;MASCULINO;Chamberí
2022;8472 ;8664;11457;88167;7;.00;1;0;0;1;6;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN SAB MAÑ BM BEN MIX G4;BALONMANO;BENJAMIN ;EMPD - AMADOR RÍOS CAB CONCE;MIXTO;Centro
2022;8472 ;8664;11457;88168;6;.00;0;0;0;0;0;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN SAB MAÑ BM BEN MIX G4;BALONMANO;BENJAMIN ;EMPD - CARLOS V BENJAS;MIXTO;Centro
2022;8472 ;8664;11457;88169;1;3.00;1;1;0;0;9;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN SAB MAÑ BM BEN MIX G4;BALONMANO;BENJAMIN ;EMPD - SAN JUAN BAU BENJ2 CONCE;MIXTO;Centro
2022;8472 ;8664;11457;88177;2;1.00;1;0;1;0;8;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN SAB MAÑ BM BEN MIX G4;BALONMANO;BENJAMIN ;EMPD - SAN BENITO BENJ;MIXTO;Centro
2022;8472 ;8664;11457;88179;3;1.00;1;0;1;0;8;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN SAB MAÑ BM BEN MIX G4;BALONMANO;BENJAMIN ;EMPD - SAN JUAN BJMIN NAR;MIXTO;Centro
2022;8472 ;8664;11457;88461;4;1.00;1;0;1;0;8;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN SAB MAÑ BM BEN MIX G4;BALONMANO;BENJAMIN ;Osuna Madrid Col. Zaragoza;MIXTO;Centro
2022;8472 ;8664;11457;88486;5;1.00;1;0;1;0;8;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN SAB MAÑ BM BEN MIX G4;BALONMANO;BENJAMIN ;Osuna Madrid Col. Zaragoza B;MIXTO;Centro
2022;8474 ;8670;11110;82796;2;9.00;3;3;0;0;14;7;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Nuiteros;MASCULINO;Chamberí
2022;8474 ;8670;11110;82467;1;9.00;3;3;0;0;13;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Swölims XVIII;MASCULINO;Chamberí
2022;8474 ;8670;11110;82594;4;7.00;4;2;1;1;13;10;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;SCHALKE TEMETO;MASCULINO;Chamberí
2022;8474 ;8670;11110;83753;3;9.00;4;3;0;1;19;14;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Chipys F.C.;MASCULINO;Chamberí
2022;8474 ;8670;11110;83039;5;7.00;4;2;1;1;14;13;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;RB F.C.;MASCULINO;Chamberí
2022;8474 ;8670;11110;82238;6;7.00;3;2;1;0;21;4;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Trofeo Maxy;MASCULINO;Chamberí
2022;8474 ;8670;11110;83709;8;4.00;4;1;1;1;10;12;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Pinzano FS;MASCULINO;Chamberí
2022;8474 ;8670;11110;81938;9;3.00;4;1;0;3;11;14;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Bakers;MASCULINO;Chamberí
2022;8474 ;8670;11110;83419;7;5.00;4;2;1;0;13;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Los Farrusperos de Vallehermoso;MASCULINO;Chamberí
2022;8474 ;8670;11110;82402;10;1.00;3;0;1;2;6;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Perros Viejos;MASCULINO;Chamberí
2022;8474 ;8670;11110;83833;11;.00;4;0;0;4;2;21;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Nottingham Miedo;MASCULINO;Chamberí
2022;8474 ;8670;11110;83168;12;-2.00;4;0;0;3;4;27;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Vergudo F.C;MASCULINO;Chamberí
2022;8478 ;8682;11150;82776;2;13.00;6;4;1;1;18;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;ILSIDISI;MASCULINO;Latina
2022;8478 ;8682;11150;84268;1;18.00;6;6;0;0;23;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;RAYO LUCERO;MASCULINO;Latina
2022;8478 ;8682;11150;83143;4;12.00;5;4;0;1;18;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;SMDS;MASCULINO;Latina
2022;8478 ;8682;11150;84196;3;13.00;6;4;1;1;21;14;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;Rayo Wakanda;MASCULINO;Latina
2022;8478 ;8682;11150;82722;5;12.00;6;4;0;2;20;18;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;Vedruna OG´s;MASCULINO;Latina
2022;8478 ;8682;11150;84512;6;11.00;6;4;0;2;18;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;CD Vista Alegra;MASCULINO;Latina
2022;8478 ;8682;11150;82565;7;7.00;5;2;1;2;19;20;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;SPORTING DE BRUGAL;MASCULINO;Latina
2022;8478 ;8682;11150;84459;10;3.00;6;1;0;5;14;25;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;Rango Palace F.C.;MASCULINO;Latina
2022;8478 ;8682;11150;82038;8;7.00;6;2;1;3;23;25;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;PLATA O PLOMO FC;MASCULINO;Latina
