Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2022;8517 ;8783;10269;81569;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel BENJAMIN;FUTBOL SALA;BENJAMIN ;HISPANO ALEMAN  B;MIXTO;Chamartín
2022;8517 ;8783;10268;81564;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel ALEVIN;FUTBOL SALA;ALEVIN ;PARAISO A;MIXTO;Chamartín
2022;8517 ;8783;10268;81565;2;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel ALEVIN;FUTBOL SALA;ALEVIN ;PARAISO B;MIXTO;Chamartín
2022;8517 ;8783;10270;81552;1;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel SENIOR;FUTBOL SALA;SENIOR ;GAYOLAS;MASCULINO;Chamartín
2022;8517 ;8783;10270;81550;2;.00;0;0;0;0;0;0;2022/2023;Torneo SAN MIGUEL;Fase de grupo;San Miguel SENIOR;FUTBOL SALA;SENIOR ;EL CERRO;MASCULINO;Chamartín
2022;8474 ;8670;11109;81814;3;13.00;6;4;1;1;33;20;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Inter de Madrid;MASCULINO;Chamberí
2022;8474 ;8670;11109;81879;1;16.00;7;5;1;1;27;10;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Chillin FS;MASCULINO;Chamberí
2022;8474 ;8670;11109;81692;2;15.00;7;5;0;2;23;11;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Los sureños;MASCULINO;Chamberí
2022;8474 ;8670;11109;81704;8;3.00;6;1;0;5;20;20;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;OGT LEYENDS;MASCULINO;Chamberí
2022;8474 ;8670;11109;81801;5;9.00;5;3;0;2;12;11;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Racing Chamberi;MASCULINO;Chamberí
2022;8474 ;8670;11109;81702;4;13.00;6;4;1;1;14;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Deportivo Chamberí;MASCULINO;Chamberí
2022;8474 ;8670;11109;81828;7;4.00;6;1;1;3;8;24;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;SWAT;MASCULINO;Chamberí
2022;8474 ;8670;11109;81579;9;3.00;6;1;0;5;15;22;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;EL BRASIL;MASCULINO;Chamberí
2022;8474 ;8670;11109;82055;6;6.00;7;2;0;4;14;43;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS PAB CANAL;FUTBOL SALA;SENIOR ;Frenquillo FC;MASCULINO;Chamberí
2022;8472 ;8664;11131;82931;1;21.00;8;7;0;1;31;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;CONSEJO F.C.;MASCULINO;Centro
2022;8472 ;8664;11131;82515;5;14.00;8;4;2;2;20;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Real Rocoso;MASCULINO;Centro
2022;8472 ;8664;11131;84495;2;19.00;8;6;1;1;31;11;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;La Competencia;MASCULINO;Centro
2022;8472 ;8664;11131;81821;4;18.00;8;6;0;2;29;16;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Recas FC;MASCULINO;Centro
2022;8472 ;8664;11131;84321;3;18.00;8;6;0;2;24;16;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Moratin 2.0;MASCULINO;Centro
2022;8472 ;8664;11131;83809;6;10.00;8;3;1;4;23;16;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;MAJETES F.C.;MASCULINO;Centro
2022;8472 ;8664;11131;83735;8;6.00;7;2;0;5;16;19;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;GMADRID SPORTS;MASCULINO;Centro
2022;8472 ;8664;11131;84484;9;3.00;7;1;0;6;14;18;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Inter de Madrid FC;MASCULINO;Centro
2022;8472 ;8664;11131;83112;7;6.00;8;2;0;6;13;41;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Bayërn de los Caídos ;MASCULINO;Centro
2022;8472 ;8664;11131;84412;10;-1.00;8;0;0;7;10;50;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;FC Madrid United ;MASCULINO;Centro
2022;8479 ;8683;10385;85372;3;10.00;6;4;0;2;10;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;ABV BOADILLA VERDE;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;87069;2;10.00;5;5;0;0;10;1;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;OBISPO PERELLO;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;85664;5;8.00;5;3;0;2;7;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;DEPOL FEEL ALCOBENDAS JUVENIL;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;84597;6;8.00;6;2;0;4;5;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;MADRID NORTE;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;87361;4;9.00;6;3;0;3;6;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;CD Las Rosas;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;85295;1;10.00;5;5;0;0;10;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;ESCLAVAS;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;86353;8;6.00;5;1;0;4;2;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;EDUCA&PLAY VOLEY;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;86497;7;6.00;5;1;0;4;3;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;COLEGIO ÁRULA;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10385;85230;9;3.00;5;0;0;4;0;10;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON SABDOM MAÑ TAR VB JUV FEM B;VOLEIBOL;JUVENIL ;SALESIANOS ESTRECHO;FEMENINO;Moncloa-Aravaca
2022;8521 ;8789;10682;84386;2;13.00;6;4;1;1;35;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;no somos nadie;MASCULINO;Moratalaz
2022;8521 ;8789;10682;83018;3;12.00;6;4;0;2;31;13;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;SANCIONADO;MASCULINO;Moratalaz
2022;8521 ;8789;10682;83832;4;12.00;6;4;0;2;17;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;RORAIMA NLP ;MASCULINO;Moratalaz
2022;8521 ;8789;10682;82403;1;13.00;6;4;1;1;13;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;Los Puneteros;MASCULINO;Moratalaz
2022;8521 ;8789;10682;82727;7;7.00;5;2;1;1;22;14;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;NIUTIN C.F;MASCULINO;Moratalaz
2022;8521 ;8789;10682;83772;8;3.00;6;1;0;5;14;30;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;Maccabi FC;MASCULINO;Moratalaz
2022;8521 ;8789;10682;82015;6;9.00;6;3;0;3;20;28;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;Ventorro;MASCULINO;Moratalaz
2022;8521 ;8789;10682;84203;5;10.00;6;3;1;2;26;17;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;Sparta;MASCULINO;Moratalaz
2022;8521 ;8789;10682;84339;9;.00;7;0;0;7;14;57;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MOR DOM TAR F7 SEN MAS G2;FUTBOL 7;SENIOR ;Yayo Vallecano CF;MASCULINO;Moratalaz
